"","C_NI_12_00","CKNI_12_00","CBODD_12_00","CKND_12_00","CNOD_12_00","CBODN_12_00","CKNN_12_00","CNON_12_00","C_NI_12_15","CKNI_12_15","CBODD_12_15","CKND_12_15","CNOD_12_15","CBODN_12_15","CKNN_12_15","CNON_12_15","C_NI_12_30","CKNI_12_30","CBODD_12_30","CKND_12_30","CNOD_12_30","CBODN_12_30","CKNN_12_30","CNON_12_30","C_NI_12_45","CKNI_12_45","CBODD_12_45","CKND_12_45","CNOD_12_45","CBODN_12_45","CKNN_12_45","CNON_12_45"
"372","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"373","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"374","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","25_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L","4","30_MG_L","25_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L"
"375","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","20_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","20_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"376","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","25_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","25_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"377","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"378","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"379","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"380","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"381","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","6_MG_L"
"382","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"383","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"384","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"385","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L"
"386","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","15_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","15_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","15_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"387","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"388","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"389","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"390","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"391","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"392","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"393","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"394","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"395","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"396","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"397","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L"
"398","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"399","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"400","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","40_MG_L","25_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"401","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"402","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","15_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"403","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"404","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","2_MG_L"
"405","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"406","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"407","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"408","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"409","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"410","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"411","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"412","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","2_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","2_MG_L"
"413","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"414","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","15_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","15_MG_L","1_MG_L","4_MG_L"
"415","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L"
"416","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","25_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","25_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"417","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","15_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","20_MG_L","15_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","15_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"418","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"419","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L"
"420","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"421","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L"
"422","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"423","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","15_MG_L","4_MG_L","0_5_MG_L","15_MG_L","1_MG_L","4_MG_L"
"424","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L"
"425","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"426","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"427","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"428","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"429","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"430","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"431","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"432","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"433","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L","6","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L"
"434","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L"
"435","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
