"","A","S","E","O","R","T"
"1272","young","M","high","emp","big","car"
"1273","adult","F","high","emp","big","car"
"1274","adult","F","uni","emp","big","car"
"1275","young","F","uni","emp","big","car"
"1276","old","M","uni","emp","big","other"
"1277","young","M","high","emp","big","train"
"1278","adult","F","high","emp","small","train"
"1279","adult","F","uni","emp","big","car"
"1280","adult","F","high","emp","small","car"
"1281","young","F","uni","emp","big","car"
"1282","adult","M","high","emp","small","train"
"1283","young","M","uni","emp","big","car"
"1284","young","M","high","emp","big","train"
"1285","old","F","high","emp","big","other"
"1286","old","M","high","emp","big","car"
"1287","young","M","high","emp","big","car"
"1288","adult","M","high","emp","big","car"
"1289","adult","F","uni","emp","big","train"
"1290","adult","M","uni","emp","big","car"
"1291","young","F","high","emp","big","other"
"1292","adult","M","uni","emp","big","other"
"1293","adult","M","uni","emp","big","train"
"1294","adult","M","high","emp","big","other"
"1295","adult","M","uni","emp","big","car"
"1296","young","F","high","emp","big","car"
"1297","adult","F","uni","emp","small","train"
"1298","adult","M","high","emp","small","car"
"1299","adult","M","high","emp","big","car"
"1300","adult","F","high","emp","small","train"
"1301","young","M","high","emp","big","train"
"1302","adult","M","high","emp","big","car"
"1303","adult","F","high","emp","big","car"
"1304","adult","F","high","emp","big","train"
"1305","young","F","uni","emp","big","car"
"1306","adult","M","high","emp","big","car"
"1307","adult","F","uni","emp","small","car"
"1308","adult","M","high","emp","big","car"
"1309","adult","M","high","self","big","car"
"1310","old","M","high","emp","big","car"
"1311","old","M","high","emp","big","train"
"1312","young","F","high","emp","big","car"
"1313","adult","F","high","emp","big","train"
"1314","old","F","high","self","big","car"
"1315","adult","F","high","emp","big","car"
"1316","adult","F","high","emp","big","other"
"1317","adult","F","high","emp","big","other"
"1318","old","M","high","emp","big","car"
"1319","adult","F","high","emp","big","train"
"1320","young","F","high","emp","big","train"
"1321","old","M","high","emp","big","train"
"1322","adult","M","high","emp","big","car"
"1323","young","M","high","emp","big","car"
"1324","adult","M","high","emp","small","car"
"1325","adult","F","high","emp","big","car"
"1326","young","F","high","emp","small","car"
"1327","old","M","high","emp","small","train"
"1328","adult","M","high","self","big","car"
"1329","adult","M","high","emp","big","car"
"1330","adult","F","uni","emp","small","train"
"1331","adult","F","high","emp","big","train"
"1332","adult","M","high","emp","big","other"
"1333","adult","M","high","emp","small","car"
"1334","young","M","high","emp","small","train"
"1335","young","M","uni","emp","big","other"
"1336","adult","F","high","emp","big","train"
"1337","adult","M","uni","emp","big","train"
"1338","young","M","high","emp","small","car"
"1339","old","M","high","emp","small","train"
"1340","adult","F","high","emp","big","car"
"1341","adult","F","uni","emp","big","car"
"1342","adult","M","uni","emp","big","train"
"1343","adult","F","high","emp","small","car"
"1344","adult","M","uni","emp","big","car"
"1345","young","F","high","emp","big","other"
"1346","young","M","uni","emp","big","train"
"1347","old","F","high","emp","big","car"
"1348","old","M","uni","self","big","car"
"1349","adult","M","high","emp","small","car"
"1350","old","F","high","emp","big","other"
"1351","adult","M","high","emp","small","car"
"1352","old","M","high","emp","big","car"
"1353","adult","M","high","emp","big","car"
"1354","young","M","high","emp","small","car"
"1355","adult","M","high","emp","big","car"
"1356","young","M","high","emp","small","train"
"1357","adult","M","uni","emp","big","other"
"1358","old","M","high","emp","big","train"
"1359","adult","F","uni","emp","big","car"
"1360","old","M","high","emp","big","train"
"1361","adult","M","high","emp","small","car"
"1362","adult","M","uni","emp","small","other"
"1363","old","F","high","emp","big","other"
"1364","adult","M","high","emp","big","other"
"1365","adult","M","high","emp","big","car"
"1366","adult","M","high","emp","big","car"
"1367","young","M","high","emp","big","car"
"1368","old","M","high","self","small","train"
"1369","old","M","high","emp","small","train"
"1370","adult","M","high","emp","big","train"
"1371","young","M","uni","emp","big","other"
"1372","old","M","high","emp","big","train"
"1373","young","M","uni","emp","big","car"
"1374","young","F","high","emp","big","other"
"1375","young","M","uni","emp","small","car"
"1376","adult","F","high","emp","big","car"
"1377","young","F","high","emp","big","train"
"1378","old","M","high","emp","small","train"
"1379","adult","F","high","emp","big","car"
"1380","adult","M","high","emp","small","other"
"1381","adult","M","high","emp","big","train"
"1382","adult","M","high","emp","big","car"
"1383","young","F","high","self","big","train"
"1384","old","M","uni","emp","small","train"
"1385","old","M","high","emp","big","train"
"1386","adult","F","high","emp","big","car"
"1387","adult","F","high","emp","big","train"
"1388","old","M","high","emp","small","car"
"1389","adult","M","high","emp","big","car"
"1390","young","M","high","emp","big","car"
"1391","old","F","high","emp","big","train"
"1392","adult","M","uni","emp","small","train"
"1393","adult","M","high","emp","big","car"
"1394","adult","M","high","emp","small","car"
"1395","young","M","high","emp","small","car"
"1396","young","M","high","emp","small","other"
"1397","adult","F","high","emp","big","car"
"1398","adult","M","high","emp","big","car"
"1399","adult","M","uni","emp","big","other"
"1400","adult","M","uni","emp","small","other"
"1401","young","M","high","emp","small","train"
"1402","adult","F","high","self","big","car"
"1403","adult","F","high","emp","big","car"
"1404","young","M","uni","emp","big","other"
"1405","adult","M","high","emp","big","car"
"1406","adult","M","uni","emp","big","train"
"1407","adult","M","high","emp","big","car"
"1408","old","M","uni","emp","big","train"
"1409","adult","F","high","self","big","other"
"1410","adult","M","uni","self","big","car"
"1411","adult","M","high","emp","small","train"
"1412","adult","F","high","emp","big","car"
"1413","adult","F","uni","emp","small","car"
"1414","young","M","high","emp","small","train"
"1415","young","M","high","emp","big","other"
"1416","adult","F","high","emp","big","car"
"1417","young","F","uni","emp","big","car"
"1418","young","M","high","emp","small","car"
"1419","young","F","uni","emp","big","train"
"1420","adult","F","uni","emp","big","train"
"1421","young","F","uni","emp","big","train"
"1422","old","F","high","emp","big","car"
"1423","adult","F","uni","emp","big","car"
"1424","adult","M","high","emp","big","train"
"1425","adult","M","high","emp","big","train"
"1426","adult","F","high","emp","big","car"
"1427","old","F","high","emp","big","other"
"1428","young","F","high","emp","big","car"
"1429","adult","M","uni","emp","big","car"
"1430","young","M","high","emp","big","car"
"1431","old","M","high","emp","big","other"
"1432","young","M","high","emp","small","car"
"1433","old","M","high","emp","big","car"
"1434","adult","M","uni","emp","big","train"
"1435","young","M","uni","emp","big","car"
"1436","young","M","high","emp","small","train"
"1437","young","F","high","emp","big","other"
"1438","old","F","high","emp","small","car"
"1439","adult","F","high","emp","small","train"
"1440","young","F","high","emp","small","car"
"1441","adult","M","high","emp","big","train"
"1442","young","F","uni","emp","big","car"
"1443","adult","F","high","emp","big","car"
"1444","old","M","high","self","big","train"
"1445","young","M","high","emp","big","other"
"1446","old","M","high","emp","big","car"
"1447","old","M","high","emp","big","car"
"1448","young","F","high","emp","small","train"
"1449","young","F","uni","emp","big","car"
"1450","young","M","high","emp","small","train"
"1451","young","M","high","emp","big","car"
"1452","adult","M","high","emp","big","car"
"1453","adult","M","uni","emp","big","train"
"1454","old","M","high","emp","big","train"
"1455","adult","M","high","emp","small","car"
"1456","old","M","uni","emp","big","car"
"1457","old","F","high","emp","small","car"
"1458","young","M","high","emp","big","train"
"1459","old","F","high","emp","big","car"
"1460","adult","F","high","emp","big","car"
"1461","adult","F","high","emp","big","train"
"1462","young","M","high","emp","small","train"
"1463","young","M","high","emp","small","car"
"1464","adult","F","high","emp","small","car"
"1465","young","F","high","emp","small","car"
"1466","young","F","uni","emp","big","other"
"1467","old","F","high","emp","big","car"
"1468","young","F","uni","emp","big","car"
"1469","young","M","high","emp","big","car"
"1470","young","F","uni","emp","big","other"
"1471","adult","M","uni","emp","big","other"
"1472","young","M","high","emp","small","car"
"1473","adult","M","high","emp","big","car"
"1474","adult","M","high","emp","big","car"
"1475","adult","M","uni","emp","big","car"
"1476","young","M","high","emp","big","other"
"1477","old","M","high","emp","big","car"
"1478","adult","M","uni","emp","big","train"
"1479","adult","M","high","emp","big","other"
"1480","young","F","uni","emp","big","other"
"1481","adult","F","uni","emp","big","other"
"1482","old","M","high","emp","small","car"
"1483","old","M","high","emp","small","car"
"1484","adult","F","uni","emp","big","other"
"1485","young","F","high","emp","small","car"
"1486","young","M","high","emp","big","car"
"1487","adult","F","high","emp","big","car"
"1488","adult","F","high","emp","big","car"
"1489","adult","F","high","emp","small","train"
"1490","adult","M","high","emp","big","train"
"1491","old","M","high","emp","small","car"
"1492","adult","F","high","emp","big","other"
"1493","adult","M","high","emp","small","train"
"1494","adult","F","high","emp","big","car"
"1495","young","M","high","emp","big","other"
"1496","adult","M","uni","emp","big","car"
"1497","young","F","high","emp","big","other"
"1498","young","M","high","emp","big","car"
"1499","adult","M","high","emp","big","train"
"1500","adult","M","uni","emp","big","car"
"1501","adult","F","high","emp","big","car"
"1502","adult","F","uni","emp","big","car"
"1503","young","M","high","emp","big","car"
"1504","adult","F","high","emp","big","car"
"1505","young","F","high","emp","small","car"
"1506","adult","F","high","emp","big","car"
"1507","adult","F","uni","emp","big","car"
"1508","adult","F","high","emp","big","car"
"1509","young","M","high","emp","big","car"
"1510","young","M","uni","emp","big","train"
"1511","adult","M","high","emp","big","train"
"1512","young","M","high","emp","big","car"
"1513","young","M","high","emp","big","other"
"1514","old","F","uni","emp","big","car"
"1515","adult","M","high","emp","big","car"
"1516","young","F","uni","emp","big","other"
"1517","adult","M","high","emp","big","train"
"1518","adult","F","high","emp","big","car"
"1519","young","M","uni","emp","small","car"
"1520","adult","M","high","emp","big","car"
"1521","adult","M","high","emp","big","other"
"1522","adult","F","high","emp","big","car"
"1523","young","F","uni","emp","big","car"
"1524","old","M","high","emp","big","other"
"1525","adult","F","uni","emp","big","train"
"1526","adult","M","high","emp","small","car"
"1527","adult","F","high","emp","big","train"
"1528","young","M","uni","emp","big","car"
"1529","old","M","high","emp","big","car"
"1530","adult","M","high","emp","big","train"
"1531","young","M","high","emp","big","car"
"1532","adult","M","uni","emp","small","car"
"1533","young","F","high","emp","big","other"
"1534","old","M","high","emp","big","train"
"1535","adult","M","high","emp","big","car"
"1536","young","M","uni","emp","big","car"
"1537","young","F","high","emp","big","car"
"1538","young","F","high","emp","big","car"
"1539","old","F","high","self","big","car"
"1540","adult","M","high","self","big","other"
"1541","adult","M","high","emp","small","car"
"1542","adult","F","high","emp","small","car"
"1543","adult","F","high","emp","big","car"
"1544","young","F","high","emp","big","car"
"1545","old","M","high","emp","big","car"
"1546","young","F","high","emp","big","car"
"1547","old","M","high","emp","small","train"
"1548","adult","M","high","emp","small","train"
"1549","old","M","high","emp","small","train"
"1550","young","M","high","emp","small","car"
"1551","adult","M","high","emp","big","car"
"1552","adult","F","high","emp","big","train"
"1553","adult","M","high","self","big","car"
"1554","adult","M","uni","emp","small","car"
"1555","adult","F","uni","self","big","car"
"1556","young","F","high","emp","small","other"
"1557","adult","F","high","emp","small","train"
"1558","old","M","high","emp","big","car"
"1559","adult","F","high","emp","big","train"
"1560","young","M","high","emp","big","other"
"1561","young","M","high","emp","big","car"
"1562","adult","F","high","emp","small","train"
"1563","young","F","high","emp","big","other"
"1564","adult","F","high","emp","small","other"
"1565","adult","M","high","emp","big","car"
"1566","adult","M","uni","emp","big","train"
"1567","young","M","high","emp","big","car"
"1568","adult","F","high","emp","small","train"
"1569","young","M","uni","emp","big","car"
"1570","young","F","uni","emp","big","other"
"1571","old","M","high","emp","small","train"
"1572","young","F","uni","self","small","train"
"1573","old","M","high","emp","small","train"
"1574","adult","F","uni","emp","big","car"
"1575","adult","M","high","emp","big","car"
"1576","adult","M","uni","emp","big","car"
"1577","adult","M","uni","emp","big","car"
"1578","adult","M","high","self","big","car"
"1579","old","M","high","emp","big","train"
"1580","adult","M","high","emp","big","car"
"1581","young","F","uni","emp","small","train"
"1582","adult","F","high","emp","big","train"
"1583","adult","M","uni","emp","big","car"
"1584","adult","F","uni","emp","big","other"
"1585","old","M","uni","emp","big","train"
"1586","adult","F","high","emp","big","other"
"1587","young","M","high","emp","big","train"
"1588","adult","M","high","self","small","car"
"1589","young","F","high","emp","big","car"
"1590","young","M","high","emp","big","train"
"1591","adult","M","high","emp","small","train"
"1592","adult","F","high","emp","big","car"
"1593","old","F","high","emp","small","car"
"1594","old","M","high","emp","big","other"
"1595","young","M","uni","emp","small","car"
"1596","adult","M","uni","emp","small","car"
"1597","adult","F","high","emp","small","train"
"1598","adult","M","high","emp","big","other"
"1599","young","M","high","emp","big","car"
"1600","adult","M","uni","emp","big","train"
"1601","old","M","high","emp","big","car"
"1602","old","F","high","emp","big","car"
"1603","young","F","high","emp","big","car"
"1604","young","M","high","emp","small","car"
"1605","adult","F","high","emp","big","car"
"1606","adult","M","high","emp","small","car"
"1607","young","M","high","emp","big","train"
"1608","old","F","high","emp","big","car"
"1609","young","F","high","emp","small","car"
"1610","adult","M","high","self","small","car"
"1611","young","F","high","emp","big","other"
"1612","young","F","high","emp","big","other"
"1613","adult","F","uni","emp","big","car"
"1614","young","F","high","emp","big","other"
"1615","young","M","high","emp","big","car"
"1616","adult","M","high","emp","big","train"
"1617","old","F","high","emp","big","car"
"1618","young","F","high","emp","big","train"
"1619","adult","M","high","emp","small","train"
"1620","adult","F","uni","emp","big","car"
"1621","old","M","high","emp","big","train"
"1622","young","F","uni","emp","big","other"
"1623","young","F","uni","emp","big","train"
"1624","adult","M","high","emp","big","car"
"1625","adult","F","high","emp","big","car"
"1626","adult","F","uni","emp","big","car"
"1627","old","F","high","self","big","car"
"1628","young","M","high","emp","big","car"
"1629","adult","F","uni","emp","small","other"
"1630","adult","M","high","emp","small","car"
"1631","adult","F","high","emp","small","car"
"1632","old","F","high","emp","big","other"
"1633","adult","M","high","emp","big","car"
"1634","adult","F","uni","emp","big","car"
"1635","young","F","high","emp","big","car"
"1636","old","F","high","emp","big","car"
"1637","young","F","high","emp","big","other"
"1638","adult","F","high","emp","small","car"
"1639","adult","M","high","emp","big","train"
"1640","adult","M","high","emp","big","car"
"1641","young","M","high","emp","big","car"
"1642","young","F","high","emp","small","car"
"1643","adult","M","high","emp","big","train"
"1644","adult","F","high","self","big","other"
"1645","adult","M","high","emp","big","other"
"1646","young","M","high","emp","big","car"
"1647","adult","F","high","emp","big","car"
"1648","adult","M","high","emp","big","train"
"1649","young","M","high","emp","big","car"
"1650","adult","F","high","emp","big","other"
"1651","young","M","high","emp","small","other"
"1652","adult","F","high","emp","small","car"
"1653","old","F","high","emp","big","train"
"1654","old","M","high","emp","big","car"
"1655","adult","M","high","emp","big","car"
"1656","old","M","high","emp","big","car"
"1657","adult","F","high","emp","big","car"
"1658","young","F","high","emp","big","train"
"1659","young","F","high","emp","big","car"
"1660","old","M","high","emp","big","train"
"1661","young","F","high","emp","big","train"
"1662","young","F","uni","emp","small","other"
"1663","adult","M","high","emp","big","train"
"1664","old","F","uni","emp","big","train"
"1665","young","M","high","emp","big","train"
"1666","old","M","high","emp","big","car"
"1667","young","F","high","emp","big","train"
"1668","adult","M","uni","emp","small","train"
"1669","adult","F","high","emp","big","train"
"1670","adult","M","uni","emp","big","train"
"1671","adult","M","uni","emp","big","car"
"1672","adult","M","high","emp","big","train"
"1673","adult","M","high","emp","big","car"
"1674","old","M","high","emp","big","car"
"1675","adult","F","high","emp","big","train"
"1676","adult","F","uni","emp","big","car"
"1677","adult","M","high","emp","big","car"
"1678","adult","M","high","emp","big","car"
"1679","young","F","high","emp","big","other"
"1680","young","F","high","emp","big","other"
"1681","adult","F","high","emp","big","other"
"1682","old","M","uni","emp","small","train"
"1683","old","M","high","emp","big","car"
"1684","young","F","uni","emp","big","car"
"1685","adult","F","uni","emp","big","car"
"1686","young","M","high","emp","big","car"
"1687","young","M","uni","self","big","car"
"1688","adult","M","high","emp","big","car"
"1689","adult","F","high","emp","big","car"
"1690","young","F","high","emp","big","car"
"1691","young","M","uni","emp","big","car"
"1692","young","M","high","emp","big","car"
"1693","young","M","high","emp","big","other"
"1694","young","M","high","emp","small","train"
"1695","adult","F","uni","emp","big","car"
"1696","adult","M","uni","emp","big","train"
"1697","young","F","high","emp","big","other"
"1698","young","M","uni","emp","big","train"
"1699","young","F","high","emp","small","train"
"1700","old","F","uni","emp","big","car"
"1701","adult","F","uni","emp","small","car"
"1702","adult","F","high","emp","big","other"
"1703","adult","F","uni","emp","big","train"
"1704","young","M","high","emp","small","other"
"1705","young","M","high","self","big","train"
"1706","adult","F","high","emp","small","train"
"1707","adult","M","high","emp","big","car"
"1708","adult","M","high","emp","big","car"
"1709","old","M","high","emp","small","other"
"1710","adult","F","uni","emp","big","car"
"1711","young","F","high","emp","big","car"
"1712","adult","F","high","emp","big","car"
"1713","adult","M","uni","emp","big","train"
"1714","young","F","high","emp","big","other"
"1715","young","M","uni","emp","small","train"
"1716","young","F","high","emp","small","car"
"1717","adult","M","high","emp","small","train"
"1718","adult","F","uni","emp","big","car"
"1719","adult","M","high","self","big","car"
"1720","young","F","high","emp","big","other"
"1721","adult","M","high","emp","big","car"
"1722","adult","F","high","emp","small","other"
"1723","old","M","high","emp","small","car"
"1724","old","F","high","emp","big","car"
"1725","adult","M","high","emp","big","train"
"1726","young","M","high","emp","big","car"
"1727","adult","M","high","emp","small","car"
"1728","young","M","uni","emp","big","other"
"1729","adult","F","high","emp","big","train"
"1730","young","F","high","emp","big","car"
"1731","young","F","high","emp","big","train"
"1732","young","M","high","emp","big","train"
"1733","young","M","high","emp","big","car"
"1734","adult","M","uni","emp","big","train"
"1735","adult","M","uni","emp","small","car"
"1736","adult","M","high","emp","big","car"
"1737","young","M","high","emp","big","car"
"1738","young","M","uni","emp","small","train"
"1739","young","M","uni","emp","big","train"
"1740","adult","M","uni","emp","small","train"
"1741","adult","M","high","emp","small","train"
"1742","adult","M","high","emp","big","train"
"1743","young","M","high","emp","small","other"
"1744","adult","F","high","emp","big","car"
"1745","young","F","high","emp","big","other"
"1746","young","F","high","emp","small","train"
"1747","adult","M","high","emp","big","car"
"1748","adult","M","high","emp","big","train"
"1749","adult","F","high","emp","small","car"
"1750","old","F","uni","emp","big","car"
"1751","old","F","high","emp","small","car"
"1752","young","M","high","emp","big","car"
"1753","adult","M","high","emp","big","car"
"1754","adult","M","high","emp","big","car"
"1755","adult","F","uni","emp","big","car"
"1756","adult","F","high","emp","small","other"
"1757","adult","M","uni","emp","big","car"
"1758","young","M","high","emp","big","other"
"1759","young","M","high","emp","big","train"
"1760","young","M","high","emp","small","train"
"1761","adult","M","uni","emp","big","train"
"1762","old","M","high","emp","big","car"
"1763","old","M","uni","emp","big","car"
"1764","adult","M","high","emp","big","car"
"1765","young","M","high","emp","small","train"
"1766","adult","F","uni","emp","small","car"
"1767","old","F","high","emp","big","car"
"1768","adult","M","uni","emp","small","car"
"1769","young","M","high","emp","big","car"
"1770","adult","M","high","emp","big","other"
"1771","adult","F","uni","emp","big","other"
"1772","adult","F","uni","emp","big","car"
"1773","adult","M","high","emp","big","car"
"1774","adult","M","high","emp","small","train"
"1775","adult","M","uni","emp","big","car"
"1776","adult","M","high","emp","small","car"
"1777","adult","F","high","emp","big","train"
"1778","old","F","high","emp","big","car"
"1779","young","F","uni","emp","big","car"
"1780","young","F","high","emp","big","car"
"1781","young","F","high","emp","big","car"
"1782","adult","M","high","emp","big","other"
"1783","young","M","high","emp","big","train"
"1784","adult","M","high","emp","big","car"
"1785","old","F","high","emp","big","other"
"1786","young","M","high","emp","big","train"
"1787","adult","M","high","emp","small","car"
"1788","young","F","high","emp","big","car"
"1789","old","M","high","emp","big","car"
"1790","adult","M","high","emp","small","train"
"1791","adult","M","high","emp","big","car"
"1792","young","M","high","emp","big","car"
"1793","young","F","high","emp","big","other"
"1794","adult","F","high","emp","big","car"
"1795","young","M","high","emp","big","car"
"1796","young","M","high","emp","small","other"
"1797","young","M","high","emp","big","car"
"1798","adult","M","high","emp","big","car"
"1799","adult","M","high","emp","big","car"
"1800","adult","M","high","emp","big","train"
"1801","old","M","high","emp","small","train"
"1802","young","M","high","emp","big","car"
"1803","adult","M","high","emp","small","car"
"1804","adult","F","uni","emp","big","other"
"1805","adult","M","uni","emp","big","train"
"1806","adult","F","uni","self","big","car"
"1807","old","F","high","emp","small","train"
"1808","young","M","high","emp","big","car"
"1809","old","F","high","emp","big","car"
"1810","adult","M","high","emp","small","car"
"1811","young","F","high","emp","big","other"
"1812","adult","F","high","emp","big","car"
"1813","adult","M","uni","emp","small","train"
"1814","adult","M","high","emp","big","car"
"1815","adult","M","high","emp","big","car"
"1816","adult","M","high","emp","big","other"
"1817","young","M","high","self","big","car"
"1818","adult","M","high","emp","big","car"
"1819","young","M","high","emp","big","car"
"1820","old","F","high","emp","big","car"
"1821","old","F","high","emp","small","car"
"1822","young","M","high","emp","big","car"
"1823","young","M","high","emp","small","train"
"1824","adult","M","high","emp","big","car"
"1825","young","M","high","emp","big","car"
"1826","young","M","high","emp","big","other"
"1827","old","M","high","emp","big","other"
"1828","young","F","high","emp","big","train"
"1829","old","M","high","emp","big","car"
"1830","adult","M","high","emp","big","train"
"1831","adult","F","high","emp","big","car"
"1832","adult","M","high","emp","big","train"
"1833","adult","F","high","emp","big","car"
"1834","old","F","high","emp","big","other"
"1835","adult","M","uni","emp","big","car"
"1836","young","M","high","emp","small","train"
"1837","young","M","high","emp","big","other"
"1838","adult","M","high","emp","small","car"
"1839","old","M","high","emp","big","car"
"1840","young","M","high","emp","small","car"
"1841","old","M","high","emp","big","other"
"1842","old","F","high","emp","small","train"
"1843","adult","M","high","emp","big","other"
"1844","young","M","high","emp","big","car"
"1845","adult","F","uni","emp","big","car"
"1846","old","F","high","emp","big","other"
"1847","adult","M","high","emp","big","other"
"1848","old","F","high","emp","big","car"
"1849","old","F","high","emp","big","other"
"1850","adult","F","high","emp","big","car"
"1851","young","F","high","emp","small","train"
"1852","adult","F","uni","self","small","car"
"1853","young","M","uni","emp","big","train"
"1854","adult","F","high","emp","big","other"
"1855","old","M","high","emp","big","car"
"1856","adult","F","high","emp","big","train"
"1857","adult","F","high","self","big","car"
"1858","adult","M","high","emp","big","other"
"1859","adult","M","uni","emp","big","car"
"1860","old","M","high","emp","big","train"
"1861","young","F","uni","self","small","other"
"1862","adult","F","high","emp","small","train"
"1863","adult","M","uni","emp","big","car"
"1864","adult","M","high","emp","big","car"
"1865","adult","F","uni","emp","big","car"
"1866","adult","M","high","emp","small","other"
"1867","adult","M","uni","emp","big","train"
"1868","adult","F","high","emp","big","train"
"1869","adult","F","high","emp","big","train"
"1870","adult","F","high","emp","big","train"
"1871","adult","M","high","emp","big","car"
"1872","adult","M","high","emp","big","car"
"1873","young","F","high","emp","big","other"
"1874","adult","F","high","emp","big","car"
"1875","adult","F","uni","self","big","train"
"1876","young","M","high","emp","big","other"
"1877","old","M","high","emp","big","car"
"1878","adult","M","uni","self","big","car"
"1879","adult","M","high","emp","big","car"
"1880","adult","F","high","emp","big","train"
"1881","adult","M","high","emp","big","other"
"1882","old","M","high","emp","big","other"
"1883","adult","F","high","emp","big","car"
"1884","young","M","high","emp","big","other"
"1885","adult","M","high","emp","big","car"
"1886","adult","F","high","emp","small","car"
"1887","young","F","high","emp","big","car"
"1888","young","F","high","emp","big","other"
"1889","adult","M","high","emp","big","car"
"1890","adult","M","uni","emp","big","train"
"1891","old","M","high","emp","big","train"
"1892","adult","M","high","emp","big","car"
"1893","adult","M","high","emp","small","other"
"1894","old","F","high","emp","big","car"
"1895","young","M","high","emp","small","car"
"1896","old","F","uni","emp","big","car"
"1897","old","F","uni","emp","big","car"
"1898","old","M","high","emp","small","train"
"1899","adult","M","high","emp","small","train"
"1900","adult","M","uni","emp","big","car"
"1901","adult","M","high","emp","small","other"
"1902","adult","M","high","emp","big","car"
"1903","adult","M","high","emp","small","train"
"1904","old","F","high","emp","big","car"
"1905","adult","F","high","emp","big","car"
"1906","adult","F","high","emp","big","car"
"1907","young","F","high","emp","big","other"
"1908","old","F","high","emp","small","train"
"1909","young","M","high","emp","big","train"
"1910","old","M","high","emp","small","train"
"1911","old","M","high","emp","big","other"
"1912","adult","M","uni","emp","big","car"
"1913","adult","M","uni","emp","big","train"
"1914","adult","M","high","self","big","car"
"1915","old","M","uni","emp","big","other"
"1916","young","M","high","emp","small","train"
"1917","young","M","high","emp","big","train"
"1918","young","M","uni","emp","big","other"
"1919","young","M","high","emp","big","car"
"1920","adult","F","high","emp","small","car"
"1921","adult","F","high","emp","big","car"
"1922","adult","M","uni","emp","big","other"
"1923","old","M","high","emp","big","train"
"1924","old","M","high","emp","big","car"
"1925","young","M","high","emp","big","car"
"1926","young","F","high","emp","big","car"
"1927","young","M","high","emp","big","car"
"1928","young","M","high","emp","big","train"
"1929","young","M","high","emp","small","car"
"1930","adult","M","high","emp","big","car"
"1931","young","M","high","emp","big","other"
"1932","adult","M","uni","emp","big","car"
"1933","young","M","high","emp","small","train"
"1934","adult","F","high","emp","big","train"
"1935","young","M","high","emp","big","other"
"1936","adult","M","uni","emp","big","car"
"1937","adult","M","high","emp","big","car"
"1938","adult","F","high","emp","big","other"
"1939","old","M","high","emp","big","car"
"1940","adult","F","high","emp","big","car"
"1941","old","M","high","emp","big","car"
"1942","young","M","high","emp","big","car"
"1943","adult","M","uni","emp","big","car"
"1944","young","M","high","emp","big","train"
"1945","old","M","high","emp","small","car"
"1946","adult","M","uni","emp","small","car"
"1947","adult","F","uni","emp","big","car"
"1948","young","M","high","emp","big","train"
"1949","old","M","high","emp","big","car"
"1950","adult","M","uni","emp","small","train"
"1951","adult","F","high","emp","big","car"
"1952","young","M","uni","emp","big","car"
"1953","adult","F","high","emp","big","car"
"1954","young","M","uni","emp","big","car"
"1955","adult","F","uni","emp","small","car"
"1956","adult","M","uni","emp","big","car"
"1957","adult","F","high","emp","small","train"
"1958","young","F","high","emp","small","car"
"1959","adult","F","high","emp","big","car"
"1960","young","M","high","emp","big","car"
"1961","adult","M","high","emp","small","train"
"1962","young","F","high","emp","big","other"
"1963","young","M","high","emp","big","car"
"1964","adult","M","uni","emp","small","car"
"1965","old","M","high","emp","big","car"
"1966","young","M","uni","emp","big","other"
"1967","old","F","high","emp","big","car"
"1968","adult","M","high","emp","big","car"
"1969","adult","M","high","emp","small","car"
"1970","adult","F","high","emp","small","other"
"1971","old","M","high","emp","small","train"
"1972","adult","M","high","emp","big","car"
"1973","old","M","high","emp","big","car"
"1974","young","M","high","emp","big","car"
"1975","old","F","high","emp","small","train"
"1976","old","M","high","emp","big","train"
"1977","young","F","high","emp","big","car"
"1978","adult","M","high","emp","small","other"
"1979","adult","M","high","emp","big","car"
"1980","young","M","high","emp","big","train"
"1981","young","F","high","emp","big","car"
"1982","adult","M","high","emp","big","car"
"1983","adult","M","high","emp","small","car"
"1984","adult","M","uni","emp","big","train"
"1985","adult","M","high","emp","big","other"
"1986","young","F","high","emp","big","car"
"1987","young","M","high","emp","big","other"
"1988","young","M","high","emp","big","other"
"1989","old","M","high","emp","big","car"
"1990","young","F","high","emp","big","train"
"1991","adult","F","high","emp","big","car"
"1992","young","M","high","emp","big","other"
"1993","adult","M","high","emp","small","train"
"1994","adult","F","high","emp","small","car"
"1995","young","M","high","emp","small","car"
"1996","old","M","high","emp","big","car"
"1997","young","M","high","emp","big","train"
"1998","young","F","uni","emp","big","train"
"1999","old","M","high","emp","small","car"
"2000","young","M","high","emp","small","car"
"2001","young","M","high","emp","big","car"
"2002","adult","F","high","emp","small","other"
"2003","old","M","high","emp","big","other"
"2004","adult","M","high","emp","big","car"
"2005","old","F","high","emp","big","other"
"2006","adult","M","uni","emp","small","train"
"2007","adult","F","uni","emp","big","car"
"2008","old","F","high","self","big","car"
"2009","adult","M","high","emp","small","train"
"2010","adult","M","high","emp","big","car"
"2011","young","F","high","emp","big","car"
"2012","young","M","high","emp","big","train"
"2013","adult","M","high","emp","big","car"
"2014","adult","M","high","emp","big","car"
"2015","adult","M","high","emp","big","other"
"2016","adult","F","high","emp","big","car"
"2017","old","F","high","emp","big","car"
"2018","adult","M","high","emp","small","train"
"2019","young","F","uni","emp","big","car"
